source,value,side,clip_delta
raw_net0,4.31684684753418,above,0.3480968475341797
raw_net0,-8.138161659240723,below,4.138161659240723
raw_net0,6.02559232711792,above,2.05684232711792
raw_net0,-4.107306003570557,below,0.10730600357055664
raw_net0,-4.5660929679870605,below,0.5660929679870605
raw_net0,7.160857677459717,above,3.192107677459717
raw_net0,21.55100440979004,above,17.58225440979004
raw_net0,11.4058837890625,above,7.4371337890625
raw_net0,-15.682232856750488,below,11.682232856750488
raw_net0,-5.136139869689941,below,1.1361398696899414
raw_net0,-5.610618591308594,below,1.6106185913085938
raw_net0,11.96119213104248,above,7.9924421310424805
raw_net0,-4.846420764923096,below,0.8464207649230957
raw_net0,4.3601226806640625,above,0.3913726806640625
raw_net0,4.081993103027344,above,0.11324310302734375
raw_net0,4.420224666595459,above,0.451474666595459
raw_net0,4.863215446472168,above,0.894465446472168
raw_net0,-4.555575847625732,below,0.5555758476257324
raw_net0,4.755099773406982,above,0.7863497734069824
raw_net0,-5.2193922996521,below,1.2193922996520996
raw_net0,-5.383951663970947,below,1.3839516639709473
raw_net0,-5.939373970031738,below,1.9393739700317383
raw_net0,4.992546558380127,above,1.023796558380127
raw_net0,-4.994842529296875,below,0.994842529296875
raw_net0,7.073793411254883,above,3.105043411254883
raw_net0,6.633120536804199,above,2.664370536804199
raw_net0,4.331885814666748,above,0.36313581466674805
raw_net0,-9.835636138916016,below,5.835636138916016
raw_net0,5.929868221282959,above,1.961118221282959
raw_net0,-6.199418544769287,below,2.199418544769287
raw_net0,-5.003785133361816,below,1.0037851333618164
raw_net0,4.95626163482666,above,0.9875116348266602
raw_net0,12.521714210510254,above,8.552964210510254
raw_net0,-4.6931681632995605,below,0.6931681632995605
raw_net0,-5.065471172332764,below,1.0654711723327637
raw_net0,-4.949721813201904,below,0.9497218132019043
raw_net0,5.568936347961426,above,1.6001863479614258
raw_net0,13.079070091247559,above,9.110320091247559
raw_net0,15.995853424072266,above,12.027103424072266
raw_net0,-4.006012439727783,below,0.006012439727783203
raw_net0,17.551822662353516,above,13.583072662353516
raw_net0,5.433841228485107,above,1.4650912284851074
raw_net0,19.631752014160156,above,15.663002014160156
raw_net0,7.474246025085449,above,3.505496025085449
raw_net0,-5.28922700881958,below,1.28922700881958
raw_net0,7.827814102172852,above,3.8590641021728516
raw_net0,3.97589111328125,above,0.00714111328125
raw_net0,-11.796438217163086,below,7.796438217163086
raw_net0,4.099590301513672,above,0.13084030151367188
raw_net0,-4.21825647354126,below,0.21825647354125977
raw_net0,-4.889133930206299,below,0.8891339302062988
raw_net0,-9.477002143859863,below,5.477002143859863
raw_net0,4.533135890960693,above,0.5643858909606934
raw_net0,4.657402992248535,above,0.6886529922485352
raw_net0,-4.804601192474365,below,0.8046011924743652
raw_net0,-9.763636589050293,below,5.763636589050293
raw_net0,19.97064781188965,above,16.00189781188965
raw_net0,5.25115966796875,above,1.28240966796875
raw_net0,-5.569566249847412,below,1.569566249847412
raw_net0,-6.826312065124512,below,2.8263120651245117
raw_net0,-4.2360944747924805,below,0.23609447479248047
raw_net0,4.518991947174072,above,0.5502419471740723
raw_net0,4.395197868347168,above,0.42644786834716797
raw_net0,6.316469192504883,above,2.347719192504883
raw_net0,4.424407482147217,above,0.4556574821472168
raw_net0,-9.241904258728027,below,5.241904258728027
raw_net0,-10.951228141784668,below,6.951228141784668
raw_net0,-7.368444919586182,below,3.3684449195861816
raw_net0,5.90896463394165,above,1.9402146339416504
raw_net0,5.026571273803711,above,1.057821273803711
raw_net0,-9.90807819366455,below,5.908078193664551
raw_net0,-4.545026779174805,below,0.5450267791748047
raw_net0,5.89594030380249,above,1.9271903038024902
raw_net0,6.019913196563721,above,2.0511631965637207
raw_net0,-7.273706436157227,below,3.2737064361572266
raw_net0,7.628660678863525,above,3.6599106788635254
raw_net0,-4.194228172302246,below,0.1942281723022461
raw_net0,5.260316848754883,above,1.2915668487548828
raw_net0,-4.801090240478516,below,0.8010902404785156
raw_net0,4.354736328125,above,0.385986328125
raw_net0,-4.098231792449951,below,0.09823179244995117
raw_net0,-7.6740217208862305,below,3.6740217208862305
raw_net0,5.346826553344727,above,1.3780765533447266
raw_net0,-4.496176242828369,below,0.49617624282836914
raw_net0,-9.498427391052246,below,5.498427391052246
raw_net0,4.289041996002197,above,0.32029199600219727
raw_net0,-16.175823211669922,below,12.175823211669922
raw_net0,5.780430316925049,above,1.8116803169250488
raw_net0,-10.466499328613281,below,6.466499328613281
raw_net0,-9.330562591552734,below,5.330562591552734
raw_net0,-10.025777816772461,below,6.025777816772461
raw_net0,-21.883193969726562,below,17.883193969726562
raw_net0,4.588114261627197,above,0.6193642616271973
raw_net0,-14.845662117004395,below,10.845662117004395
raw_net0,6.253559112548828,above,2.284809112548828
raw_net0,-5.128846168518066,below,1.1288461685180664
raw_net0,7.811877250671387,above,3.8431272506713867
raw_net0,-5.07321310043335,below,1.0732131004333496
raw_net0,-10.188146591186523,below,6.188146591186523
raw_net0,6.647541046142578,above,2.678791046142578
raw_net0,8.850910186767578,above,4.882160186767578
raw_net0,-4.288996696472168,below,0.28899669647216797
raw_net0,-4.7564005851745605,below,0.7564005851745605
raw_net0,4.736543655395508,above,0.7677936553955078
raw_net0,4.861997127532959,above,0.893247127532959
raw_net0,-6.659129619598389,below,2.6591296195983887
raw_net0,-4.031390190124512,below,0.03139019012451172
raw_net0,6.1165032386779785,above,2.1477532386779785
raw_net0,-7.426198482513428,below,3.4261984825134277
raw_net0,-4.42360258102417,below,0.4236025810241699
raw_net0,5.914496898651123,above,1.945746898651123
raw_net0,-4.8107500076293945,below,0.8107500076293945
raw_net0,-4.687705039978027,below,0.6877050399780273
raw_net0,-4.7140655517578125,below,0.7140655517578125
raw_net0,-17.692325592041016,below,13.692325592041016
raw_net0,8.056661605834961,above,4.087911605834961
raw_net0,-4.122056484222412,below,0.12205648422241211
raw_net0,-5.400179386138916,below,1.400179386138916
raw_net0,-4.159267425537109,below,0.15926742553710938
raw_net0,-7.1967668533325195,below,3.1967668533325195
raw_net0,-12.738116264343262,below,8.738116264343262
raw_net0,4.379396438598633,above,0.4106464385986328
raw_net0,-4.290311336517334,below,0.290311336517334
raw_net0,9.642120361328125,above,5.673370361328125
raw_net0,-7.287067890167236,below,3.2870678901672363
raw_net0,-6.363624572753906,below,2.3636245727539062
raw_net0,7.289207458496094,above,3.3204574584960938
raw_net0,5.151649475097656,above,1.1828994750976562
raw_net0,4.530266761779785,above,0.5615167617797852
raw_net0,7.563727378845215,above,3.594977378845215
raw_net0,9.35361385345459,above,5.38486385345459
raw_net0,5.476914405822754,above,1.508164405822754
raw_net0,6.9751763343811035,above,3.0064263343811035
raw_net0,-6.695337295532227,below,2.6953372955322266
raw_net0,7.974715709686279,above,4.005965709686279
raw_net0,6.830798625946045,above,2.862048625946045
raw_net0,-6.71415901184082,below,2.7141590118408203
raw_net0,-5.233595371246338,below,1.233595371246338
raw_net0,4.577633857727051,above,0.6088838577270508
raw_net0,-5.016573905944824,below,1.0165739059448242
raw_net0,4.932680130004883,above,0.9639301300048828
raw_net0,18.863601684570312,above,14.894851684570312
raw_net0,10.82565975189209,above,6.85690975189209
raw_net0,-4.048672676086426,below,0.04867267608642578
raw_net0,3.9796764850616455,above,0.010926485061645508
raw_net0,-4.276942253112793,below,0.27694225311279297
raw_net0,-10.676626205444336,below,6.676626205444336
raw_net0,4.108009338378906,above,0.13925933837890625
raw_net0,-5.2852463722229,below,1.2852463722229004
raw_net0,-9.529960632324219,below,5.529960632324219
raw_net0,-7.049269199371338,below,3.049269199371338
raw_net0,-5.669027328491211,below,1.669027328491211
raw_net0,-14.219135284423828,below,10.219135284423828
raw_net0,6.471602439880371,above,2.502852439880371
raw_net0,-9.47482967376709,below,5.47482967376709
raw_net0,-4.141606330871582,below,0.14160633087158203
raw_net0,4.213393688201904,above,0.2446436882019043
raw_net0,4.716207981109619,above,0.7474579811096191
